cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,location,site_depth,hub_height
,WTIV,Lift Tower Section,1.52,25333.333333333336,ACTION,8286.915377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Delay,31.0,516666.6666666667,ACTION,8317.915377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,8323.915377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Release Nacelle,3.0,50000.0,ACTION,8326.915377289839,TurbineInstallation,,,,,
,WTIV,Reequip,1.0,16666.666666666668,ACTION,8327.915377289839,TurbineInstallation,,,,,
,WTIV,Lift Nacelle,1.5,25000.0,ACTION,8329.415377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Delay,13.0,216666.6666666667,ACTION,8342.415377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Attach Nacelle,6.0,100000.0,ACTION,8348.415377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Reequip,1.0,16666.666666666668,ACTION,8349.415377289839,TurbineInstallation,,,,,
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,8350.415377289839,TurbineInstallation,,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,8351.915377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,8355.415377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,8356.415377289839,TurbineInstallation,,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,8357.915377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,8361.415377289839,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,8362.415377289839,TurbineInstallation,,,,,
