cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,mono_drive_rate,tower_section_fasten_time,tower_section_release_time,tower_section_attach_time,nacelle_fasten_time,nacelle_release_time,nacelle_attach_time,blade_fasten_time,blade_release_time,blade_attach_time
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,186.219558778571,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,187.219558778571,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,3.0,50000.0,ACTION,190.219558778571,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Delay,6.0,100000.0,ACTION,196.219558778571,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,196.94262431389882,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,196.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,197.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Delay,23.0,383333.3333333334,ACTION,220.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Drive Monopile,15.0,250000.00000000003,ACTION,235.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,237.94587431389883,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,238.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,239.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,243.94587431389883,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Jackdown,5.416666666666667,90277.7777777778,ACTION,249.36254098056548,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,254.36254098056548,MonopileInstallation,,,,,,,,,,,,,,,
