cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,location
,WTIV,Release Monopile,3.0,31250.0,ACTION,263.27920764723217,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,264.00227318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,264.00552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,265.00552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,266.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,268.50552318255995,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,269.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,270.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,274.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,274.8221898492266,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,276.8221898492266,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,277.1388565158933,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,278.1388565158933,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,281.1388565158933,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,281.8619220512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,281.86517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,282.86517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,284.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,286.36517205122107,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,287.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,288.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,292.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,
