cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,277.58446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,278.58446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Drive Monopile,1.5,25000.0,ACTION,280.08446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,282.08446978854334,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,283.08446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,284.08446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,288.08446978854334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,288.40113645521,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,291.64437969845324,MonopileInstallation,,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,303.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,311.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,323.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,331.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,343.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,351.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,363.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,371.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,383.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,391.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,403.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,411.64437969845324,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,414.88762294169646,MonopileInstallation,,,,,
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,419.88762294169646,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,420.2042896083631,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,421.2042896083631,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,424.2042896083631,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,424.92735514369093,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,424.9306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,425.9306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Drive Monopile,1.5,25000.0,ACTION,427.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,429.4306051436909,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,430.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Delay,9.0,150000.0,ACTION,439.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,440.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,444.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,444.7472718103576,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,449.7472718103576,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,450.06393847702424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,451.06393847702424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Delay,2.0,33333.333333333336,ACTION,453.06393847702424,MonopileInstallation,,,,,
,WTIV,Release Monopile,3.0,50000.0,ACTION,456.06393847702424,MonopileInstallation,,,,,
