cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,location
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,256.00227318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,256.00552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,257.00552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,258.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,260.50552318255995,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,261.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,262.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,266.50552318255995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,266.8221898492266,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,271.8221898492266,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,272.1388565158933,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,273.1388565158933,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Monopile,3.0,31250.0,ACTION,276.1388565158933,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,276.8619220512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,276.86517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,277.86517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,279.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,281.36517205122107,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,282.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,283.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,287.36517205122107,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,287.68183871788773,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,292.68183871788773,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,292.9985053845544,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,293.9985053845544,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Monopile,3.0,31250.0,ACTION,296.9985053845544,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,297.7215709198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,297.7248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,298.7248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,300.2248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,302.2248209198822,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,303.2248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,304.2248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,308.2248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,308.54148758654884,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,313.54148758654884,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,313.8581542532155,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,314.8581542532155,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Monopile,3.0,31250.0,ACTION,317.8581542532155,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,318.5812197885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,318.5844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,319.5844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,321.0844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,323.0844697885433,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,324.0844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,325.0844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,329.0844697885433,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,329.40113645520995,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,372.6443796984532,MonopileInstallation,,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,384.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,392.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,404.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,412.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,424.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,432.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Delay,7.0,72916.66666666666,ACTION,439.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,451.6443796984532,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
