cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4109.382416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4112.382416174515,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.76,12666.666666666668,ACTION,4113.142416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4119.142416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4122.142416174515,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.14,19000.0,ACTION,4123.282416174516,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4129.282416174516,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4132.282416174516,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.52,25333.333333333336,ACTION,4133.802416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4139.802416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Nacelle,3.0,50000.0,ACTION,4142.802416174515,TurbineInstallation,,,,
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4143.802416174515,TurbineInstallation,,,,
,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4145.302416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4151.302416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4152.302416174515,TurbineInstallation,,,,
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4153.302416174515,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4154.802416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
