cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,203.6818387178878,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,206.92508196113107,MonopileInstallation,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,218.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,226.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,238.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,246.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,258.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,266.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,278.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,286.92508196113107,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,290.1683252043743,MonopileInstallation,,,,
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,292.1683252043743,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,292.48499187104096,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,293.48499187104096,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,296.48499187104096,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,297.20805740636877,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,297.21130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,298.21130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,299.71130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,301.71130740636875,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,302.71130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,303.71130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,307.71130740636875,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,308.0279740730354,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,310.0279740730354,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,310.3446407397021,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,311.3446407397021,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,314.3446407397021,MonopileInstallation,,,,
,WTIV,Delay,1.0,16666.666666666668,ACTION,315.3446407397021,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,316.0677062750299,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,316.07095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,317.07095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,318.57095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,320.57095627502986,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,321.57095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,322.57095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,326.57095627502986,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,326.8876229416965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,328.8876229416965,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,329.2042896083632,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,330.2042896083632,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,333.2042896083632,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,333.927355143691,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,333.93060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,334.93060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,336.43060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,338.43060514369097,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,339.43060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
